accesses,temp,power,number,prediction
92833,70.52,0.016,0,71.22
0,70.70,0.016,1,71.40
0,70.70,0.016,2,71.40
0,70.52,0.016,3,71.22
0,70.69,0.016,4,71.37
0,70.90,0.016,5,71.58
0,70.90,0.016,6,71.58
0,70.69,0.016,7,71.37
0,70.68,0.016,8,70.89
0,70.88,0.016,9,71.09
0,70.88,0.016,10,71.09
0,70.68,0.016,11,70.88
0,70.53,0.016,12,70.77
0,70.71,0.016,13,70.95
0,70.71,0.016,14,70.95
0,70.53,0.016,15,70.76
92839,70.55,0.016,16,70.77
0,70.71,0.016,17,70.94
0,70.69,0.016,18,70.92
0,70.55,0.016,19,70.77
0,70.70,0.016,20,70.88
0,70.88,0.016,21,71.07
0,70.86,0.016,22,71.06
0,70.68,0.016,23,70.87
0,70.72,0.016,24,70.91
0,70.90,0.016,25,71.10
0,70.87,0.016,26,71.08
0,70.66,0.016,27,70.87
0,70.55,0.016,28,70.75
0,70.70,0.016,29,70.91
0,70.68,0.016,30,70.90
0,70.52,0.016,31,70.73
94029,71.22,2.2859999999999996,0,71.82
0,71.40,0.016,1,71.99
0,71.40,0.016,2,72.00
0,71.22,0.016,3,71.83
0,71.37,0.016,4,71.95
0,71.58,0.016,5,72.17
0,71.58,0.016,6,72.16
0,71.37,0.016,7,71.96
0,70.89,0.016,8,71.05
0,71.09,0.016,9,71.25
0,71.09,0.016,10,71.25
0,70.88,0.016,11,71.05
0,70.77,0.016,12,70.97
0,70.95,0.016,13,71.14
0,70.95,0.016,14,71.14
0,70.76,0.016,15,70.95
94032,70.77,2.2849999999999997,16,70.91
0,70.94,0.016,17,71.08
0,70.92,0.016,18,71.07
0,70.77,0.016,19,70.92
0,70.88,0.016,20,71.00
0,71.07,0.016,21,71.19
0,71.06,0.016,22,71.18
0,70.87,0.016,23,70.99
0,70.91,0.016,24,71.03
0,71.10,0.016,25,71.22
0,71.08,0.016,26,71.21
0,70.87,0.016,27,71.00
0,70.75,0.016,28,70.89
0,70.91,0.016,29,71.05
0,70.90,0.016,30,71.04
0,70.73,0.016,31,70.86
95550,71.82,2.3149999999999995,0,72.33
0,71.99,0.016,1,72.51
0,72.00,0.016,2,72.52
0,71.83,0.016,3,72.35
0,71.95,0.016,4,72.46
0,72.17,0.016,5,72.67
0,72.16,0.016,6,72.66
0,71.96,0.016,7,72.46
0,71.05,0.016,8,71.19
0,71.25,0.016,9,71.39
0,71.25,0.016,10,71.39
0,71.05,0.016,11,71.20
0,70.97,0.016,12,71.14
0,71.14,0.016,13,71.31
0,71.14,0.016,14,71.30
0,70.95,0.016,15,71.11
95539,70.91,2.3139999999999996,16,71.01
0,71.08,0.016,17,71.20
0,71.07,0.016,18,71.19
0,70.92,0.016,19,71.03
0,71.00,0.016,20,71.09
0,71.19,0.016,21,71.28
0,71.18,0.016,22,71.27
0,70.99,0.016,23,71.08
0,71.03,0.016,24,71.12
0,71.22,0.016,25,71.31
0,71.21,0.016,26,71.30
0,71.00,0.016,27,71.09
0,70.89,0.016,28,71.00
0,71.05,0.016,29,71.15
0,71.04,0.016,30,71.13
0,70.86,0.016,31,70.96
97533,72.33,2.351,0,72.78
0,72.51,0.016,1,72.96
0,72.52,0.016,2,72.97
0,72.35,0.016,3,72.82
0,72.46,0.016,4,72.92
0,72.67,0.016,5,73.12
0,72.66,0.016,6,73.11
0,72.46,0.016,7,72.90
0,71.19,0.016,8,71.32
0,71.39,0.016,9,71.52
0,71.39,0.016,10,71.52
0,71.20,0.016,11,71.34
0,71.14,0.016,12,71.30
0,71.31,0.016,13,71.47
0,71.30,0.016,14,71.46
0,71.11,0.016,15,71.26
97551,71.01,2.3499999999999996,16,71.10
0,71.20,0.016,17,71.29
0,71.19,0.016,18,71.28
0,71.03,0.016,19,71.13
0,71.09,0.016,20,71.17
0,71.28,0.016,21,71.35
0,71.27,0.016,22,71.34
0,71.08,0.016,23,71.14
0,71.12,0.016,24,71.18
0,71.31,0.016,25,71.37
0,71.30,0.016,26,71.36
0,71.09,0.016,27,71.17
0,71.00,0.016,28,71.08
0,71.15,0.016,29,71.23
0,71.13,0.016,30,71.21
0,70.96,0.016,31,71.03
99268,72.78,2.4,0,73.18
0,72.96,0.016,1,73.38
0,72.97,0.016,2,73.38
0,72.82,0.016,3,73.24
0,72.92,0.016,4,73.33
0,73.12,0.016,5,73.52
0,73.11,0.016,6,73.52
0,72.90,0.016,7,73.31
0,71.32,0.016,8,71.45
0,71.52,0.016,9,71.65
0,71.52,0.016,10,71.66
0,71.34,0.016,11,71.49
0,71.30,0.016,12,71.46
0,71.47,0.016,13,71.62
0,71.46,0.016,14,71.61
0,71.26,0.016,15,71.41
99261,71.10,2.4,16,71.18
0,71.29,0.016,17,71.37
0,71.28,0.016,18,71.37
0,71.13,0.016,19,71.22
0,71.17,0.016,20,71.25
0,71.35,0.016,21,71.42
0,71.34,0.016,22,71.40
0,71.14,0.016,23,71.20
0,71.18,0.016,24,71.23
0,71.37,0.016,25,71.42
0,71.36,0.016,26,71.42
0,71.17,0.016,27,71.24
0,71.08,0.016,28,71.16
0,71.23,0.016,29,71.29
0,71.21,0.016,30,71.28
0,71.03,0.016,31,71.09
98806,73.18,2.4419999999999997,0,73.54
0,73.38,0.016,1,73.74
0,73.38,0.016,2,73.75
0,73.24,0.016,3,73.62
0,73.33,0.016,4,73.70
0,73.52,0.016,5,73.88
0,73.52,0.016,6,73.88
0,73.31,0.016,7,73.67
0,71.45,0.016,8,71.58
0,71.65,0.016,9,71.79
0,71.66,0.016,10,71.80
0,71.49,0.016,11,71.64
0,71.46,0.016,12,71.62
0,71.62,0.016,13,71.77
0,71.61,0.016,14,71.76
0,71.41,0.016,15,71.55
98806,71.18,2.442,16,71.24
0,71.37,0.016,17,71.44
0,71.37,0.016,18,71.45
0,71.22,0.016,19,71.30
0,71.25,0.016,20,71.33
0,71.42,0.016,21,71.48
0,71.40,0.016,22,71.47
0,71.20,0.016,23,71.26
0,71.23,0.016,24,71.27
0,71.42,0.016,25,71.47
